Sexe,StartOrder,ResultOrder
Femmes,1,3.4571428571428573
Femmes,2,5.371428571428571
Femmes,3,11.685714285714285
Femmes,4,9.057142857142857
Femmes,5,8.228571428571428
Femmes,6,11.205882352941176
Femmes,7,13.264705882352942
Femmes,8,13.485714285714286
Femmes,9,18.676470588235293
Femmes,10,18.085714285714285
Femmes,11,17.742857142857144
Femmes,12,17.97142857142857
Femmes,13,19.818181818181817
Femmes,14,19.575757575757574
Femmes,15,21.942857142857143
Femmes,16,21.4
Femmes,17,19.314285714285713
Femmes,18,22.38235294117647
Femmes,19,21.515151515151516
Femmes,20,23.21212121212121
Femmes,21,25.457142857142856
Femmes,22,22.529411764705884
Femmes,23,27.285714285714285
Femmes,24,23.97142857142857
Femmes,25,23.575757575757574
Femmes,26,29.37142857142857
Femmes,27,26.0
Femmes,28,23.806451612903224
Femmes,29,33.096774193548384
Femmes,30,28.676470588235293
Femmes,31,31.424242424242426
Femmes,32,31.363636363636363
Femmes,33,31.352941176470587
Femmes,34,29.65625
Femmes,35,33.1764705882353
Femmes,36,32.05882352941177
Femmes,37,32.696969696969695
Femmes,38,34.529411764705884
Femmes,39,37.6764705882353
Femmes,40,33.411764705882355
Femmes,41,39.0
Femmes,42,37.857142857142854
Femmes,43,36.03030303030303
Femmes,44,38.05714285714286
Femmes,45,38.53125
Femmes,46,41.92857142857143
Femmes,47,40.75
Femmes,48,43.806451612903224
Femmes,49,38.54838709677419
Femmes,50,39.84375
Femmes,51,44.75
Femmes,52,42.27272727272727
Femmes,53,39.7037037037037
Femmes,54,46.310344827586206
Femmes,55,44.93333333333333
Femmes,56,43.833333333333336
Femmes,57,46.608695652173914
Femmes,58,48.82142857142857
Femmes,59,46.46666666666667
Femmes,60,49.26086956521739
Hommes,1,4.485714285714286
Hommes,2,7.228571428571429
Hommes,3,6.0588235294117645
Hommes,4,9.428571428571429
Hommes,5,9.314285714285715
Hommes,6,10.314285714285715
Hommes,7,11.971428571428572
Hommes,8,12.457142857142857
Hommes,9,13.606060606060606
Hommes,10,15.941176470588236
Hommes,11,14.529411764705882
Hommes,12,16.514285714285716
Hommes,13,15.06060606060606
Hommes,14,18.705882352941178
Hommes,15,16.294117647058822
Hommes,16,24.11764705882353
Hommes,17,24.470588235294116
Hommes,18,20.176470588235293
Hommes,19,23.58823529411765
Hommes,20,23.352941176470587
Hommes,21,22.852941176470587
Hommes,22,25.181818181818183
Hommes,23,24.03030303030303
Hommes,24,26.941176470588236
Hommes,25,26.3125
Hommes,26,28.0
Hommes,27,29.82857142857143
Hommes,28,24.88235294117647
Hommes,29,33.542857142857144
Hommes,30,23.914285714285715
Hommes,31,30.470588235294116
Hommes,32,30.5
Hommes,33,31.676470588235293
Hommes,34,36.696969696969695
Hommes,35,30.2
Hommes,36,34.8125
Hommes,37,32.354838709677416
Hommes,38,34.05882352941177
Hommes,39,36.4
Hommes,40,37.94117647058823
Hommes,41,35.23529411764706
Hommes,42,38.72727272727273
Hommes,43,37.78787878787879
Hommes,44,37.72727272727273
Hommes,45,45.45454545454545
Hommes,46,37.29032258064516
Hommes,47,39.5
Hommes,48,45.71875
Hommes,49,42.42424242424242
Hommes,50,43.72727272727273
Hommes,51,46.8125
Hommes,52,43.12903225806452
Hommes,53,46.29032258064516
Hommes,54,45.96551724137931
Hommes,55,45.46666666666667
Hommes,56,47.55882352941177
Hommes,57,44.63333333333333
Hommes,58,45.87096774193548
Hommes,59,48.10344827586207
Hommes,60,49.096774193548384
